5941499,159%,353380,0:28.47,0
a39a103,160%,330920,0:28.13,0
77d7bcb,179%,337284,0:25.87,0
e33f5e6,159%,326316,0:27.57,0
0009ba8,159%,380760,0:29.69,0
ec916f6,158%,349808,0:26.62,0
4f30478,161%,381352,0:28.11,0
3686f5f,160%,344824,0:27.54,0
c64f760,159%,405604,0:27.26,0
13f02f1,160%,349180,0:27.04,0
c89b1c7,157%,321804,0:27.78,0
e08a01a,180%,343620,0:24.94,0
dfc8623,158%,359848,0:27.91,0
e8bf35f,160%,400312,0:29.47,0
a11d8af,160%,364204,0:30.17,0
02e6df3,161%,348708,0:29.75,0
4ced100,159%,363788,0:30.47,0
2134755,160%,386356,0:29.64,0
74fb1c6,159%,351044,0:30.26,0
17bf5d4,159%,339844,0:29.43,0
aba918f,160%,372504,0:28.33,0
28617ea,160%,389468,0:27.21,0
0e1f896,159%,362040,0:27.72,0
f7fb43a,158%,360400,0:27.29,0
3abcc41,179%,325396,0:24.69,0
8affe53,160%,369724,0:27.81,0
ebe20fc,159%,311028,0:27.92,0
a0a7f4b,159%,357152,0:27.41,0
fe80815,160%,352248,0:27.16,0
f350f24,159%,328520,0:26.90,0
e362d16,160%,350564,0:27.77,0
35a13be,158%,356896,0:26.97,0
7278790,160%,367892,0:27.93,0
ae7d53a,159%,428932,0:27.48,0
4bd8f4e,159%,337388,0:27.13,0
36c350d,160%,359980,0:28.36,0
4c5bb5e,181%,374208,0:23.27,0
7ff75eb,181%,403580,0:23.29,0
0127e9f,177%,386352,0:21.83,0
b9ba365,181%,356700,0:22.23,0
1993b8f,179%,330432,0:22.05,0
54dc5a0,180%,367456,0:21.78,0
19ce9be,179%,411228,0:21.28,0
b4194e6,179%,416160,0:21.66,0
b17369b,180%,380876,0:21.80,0
61d09d6,180%,367672,0:22.10,0
6e0d83f,179%,388428,0:21.85,0
c532320,177%,349640,0:21.11,0
c93f7af,166%,619168,0:33.39,0
e7c5dc7,6%,119700,0:31.42,0
cbb087a,6%,124600,0:29.64,0
30a0c23,6%,121232,0:30.46,0
77e1343,6%,97060,0:33.47,0
77e1343,6%,94364,0:40.44,0
523c400,6%,121532,0:45.13,0
9b96118,6%,96004,0:42.09,0
62b9937,9%,106932,0:24.90,0
b55b734,9%,118740,0:25.15,0
