5941499,161%,328372,0:26.75,0
a39a103,160%,352508,0:26.62,0
77d7bcb,158%,359352,0:26.39,0
e33f5e6,157%,356052,0:26.22,0
0009ba8,159%,337248,0:26.29,0
ec916f6,158%,372164,0:25.74,0
4f30478,159%,314088,0:25.41,0
3686f5f,158%,353760,0:25.38,0
c64f760,158%,347928,0:25.97,0
13f02f1,161%,359148,0:26.53,0
c89b1c7,177%,338688,0:23.49,0
e08a01a,160%,346400,0:26.18,0
dfc8623,159%,376632,0:26.49,0
e8bf35f,160%,356168,0:26.03,0
a11d8af,158%,317772,0:25.82,0
02e6df3,158%,367584,0:25.69,0
4ced100,159%,361360,0:25.93,0
2134755,158%,346928,0:26.10,0
74fb1c6,159%,355372,0:26.15,0
17bf5d4,179%,322252,0:23.72,0
aba918f,160%,344812,0:26.02,0
28617ea,159%,366068,0:25.39,0
0e1f896,159%,348548,0:26.00,0
f7fb43a,158%,367508,0:25.88,0
3abcc41,158%,340944,0:25.88,0
8affe53,160%,364308,0:26.16,0
ebe20fc,159%,345036,0:26.21,0
a0a7f4b,159%,345696,0:26.10,0
fe80815,159%,337568,0:26.13,0
f350f24,160%,331584,0:26.24,0
e362d16,159%,358448,0:26.28,0
35a13be,159%,355180,0:26.22,0
7278790,158%,346912,0:26.87,0
ae7d53a,158%,344660,0:26.25,0
4bd8f4e,160%,359956,0:26.57,0
36c350d,180%,336644,0:23.69,0
4c5bb5e,179%,339544,0:20.17,0
7ff75eb,178%,399932,0:20.46,0
0127e9f,177%,341816,0:21.14,0
b9ba365,178%,346320,0:20.29,0
1993b8f,180%,415436,0:20.89,0
54dc5a0,179%,359268,0:20.64,0
19ce9be,180%,452772,0:20.39,0
b4194e6,179%,370688,0:20.90,0
b17369b,178%,398468,0:20.83,0
61d09d6,179%,415112,0:20.64,0
6e0d83f,178%,394976,0:20.54,0
c532320,178%,374068,0:20.26,0
c93f7af,166%,639544,0:30.80,0
e7c5dc7,5%,121060,0:36.79,0
cbb087a,5%,119308,0:48.68,0
30a0c23,5%,123460,0:42.99,0
77e1343,5%,103268,0:36.28,0
77e1343,5%,122608,0:46.91,0
523c400,5%,125048,0:37.07,0
9b96118,5%,124252,0:39.01,0
62b9937,6%,119752,0:41.56,0
b55b734,5%,115740,0:40.07,0
6475093,5%,116668,0:46.13,0
e1b8dd9,5%,120188,0:41.12,0
44ebad3,5%,121144,0:45.50,0
a550d71,6%,118652,0:37.12,0
aca081e,5%,121208,0:40.88,0
