5941499,182%,358036,0:20.19,0
a39a103,182%,335376,0:19.90,0
77d7bcb,182%,323872,0:19.47,0
e33f5e6,183%,347304,0:20.14,0
0009ba8,182%,361100,0:19.48,0
ec916f6,182%,376564,0:19.82,0
4f30478,182%,345732,0:19.48,0
3686f5f,181%,365064,0:19.99,0
c64f760,181%,356360,0:19.98,0
13f02f1,183%,328012,0:19.50,0
c89b1c7,182%,328844,0:19.43,0
e08a01a,182%,346744,0:19.89,0
dfc8623,183%,388040,0:19.84,0
e8bf35f,183%,344860,0:19.78,0
a11d8af,183%,353172,0:19.68,0
02e6df3,183%,288640,0:20.01,0
4ced100,181%,330008,0:19.65,0
2134755,182%,357908,0:19.96,0
74fb1c6,183%,409940,0:20.28,0
17bf5d4,183%,374684,0:20.68,0
aba918f,182%,325440,0:20.13,0
28617ea,183%,393816,0:20.67,0
0e1f896,182%,313188,0:21.45,0
f7fb43a,185%,320744,0:22.13,0
3abcc41,183%,380944,0:22.61,0
8affe53,181%,302300,0:22.35,0
ebe20fc,181%,355304,0:21.59,0
a0a7f4b,183%,353392,0:22.59,0
fe80815,182%,406544,0:21.10,0
f350f24,181%,334892,0:20.41,0
e362d16,183%,422420,0:20.09,0
35a13be,182%,314308,0:20.09,0
7278790,181%,367228,0:20.30,0
ae7d53a,183%,408016,0:20.41,0
4bd8f4e,181%,390856,0:19.56,0
36c350d,182%,299564,0:19.66,0
4c5bb5e,183%,326252,0:19.81,0
7ff75eb,183%,305348,0:20.13,0
0127e9f,182%,342488,0:20.45,0
b9ba365,181%,319752,0:19.77,0
1993b8f,181%,307236,0:20.20,0
54dc5a0,182%,347124,0:20.58,0
19ce9be,182%,347432,0:20.20,0
b4194e6,183%,303412,0:20.10,0
b17369b,182%,341628,0:21.19,0
61d09d6,181%,362184,0:22.02,0
6e0d83f,183%,355184,0:23.08,0
c532320,183%,303728,0:22.61,0
c93f7af,153%,362648,0:37.51,0
e7c5dc7,42%,203644,0:23.39,0
cbb087a,45%,194884,0:22.46,0
30a0c23,46%,198360,0:21.18,0
77e1343,46%,179388,0:24.30,0
77e1343,44%,181400,0:32.12,0
523c400,49%,186688,0:22.21,0
9b96118,41%,178280,0:29.67,0
62b9937,77%,234160,0:14.59,0
b55b734,67%,234752,0:16.79,0
6475093,58%,202856,0:19.71,0
e1b8dd9,65%,245688,0:17.74,0
44ebad3,66%,210124,0:16.84,0
a550d71,58%,242188,0:19.28,0
aca081e,63%,234180,0:18.12,0
209816e,59%,210032,0:19.35,0
684d870,58%,183140,0:15.71,0
afc97cb,60%,173792,0:15.06,0
aff43ef,60%,170756,0:15.91,0
