5941499,180%,315420,0:17.73,0
a39a103,180%,314112,0:17.38,0
77d7bcb,182%,313164,0:17.65,0
e33f5e6,182%,311328,0:17.49,0
0009ba8,181%,322392,0:17.65,0
ec916f6,181%,354832,0:17.74,0
4f30478,181%,343984,0:17.22,0
3686f5f,182%,341984,0:17.47,0
c64f760,182%,351680,0:17.70,0
13f02f1,182%,313808,0:17.54,0
c89b1c7,184%,329528,0:17.37,0
e08a01a,180%,324392,0:17.44,0
dfc8623,180%,338064,0:18.09,0
e8bf35f,182%,322220,0:17.87,0
a11d8af,181%,303576,0:17.49,0
02e6df3,181%,329576,0:17.68,0
4ced100,181%,315468,0:17.71,0
2134755,182%,348468,0:17.72,0
74fb1c6,182%,286652,0:17.27,0
17bf5d4,181%,354520,0:17.36,0
aba918f,182%,317828,0:17.73,0
28617ea,182%,294064,0:17.96,0
0e1f896,181%,379140,0:17.58,0
f7fb43a,180%,302124,0:17.31,0
3abcc41,182%,309584,0:17.56,0
8affe53,183%,412492,0:17.61,0
ebe20fc,181%,358824,0:17.87,0
a0a7f4b,181%,313788,0:17.54,0
fe80815,182%,363592,0:17.51,0
f350f24,181%,368916,0:17.70,0
e362d16,182%,329624,0:17.78,0
35a13be,181%,336444,0:17.85,0
7278790,183%,283196,0:17.04,0
ae7d53a,181%,320572,0:17.66,0
4bd8f4e,181%,373228,0:17.67,0
36c350d,181%,321636,0:17.70,0
4c5bb5e,179%,350872,0:17.55,0
7ff75eb,178%,342604,0:17.89,0
0127e9f,181%,310560,0:17.58,0
b9ba365,179%,366824,0:17.70,0
1993b8f,183%,337292,0:17.91,0
54dc5a0,180%,318576,0:17.72,0
19ce9be,181%,329200,0:17.48,0
b4194e6,182%,389180,0:17.66,0
b17369b,182%,285888,0:17.33,0
61d09d6,180%,332172,0:17.62,0
6e0d83f,181%,318024,0:17.65,0
c532320,181%,338348,0:18.11,0
c93f7af,147%,296200,0:30.25,0
e7c5dc7,50%,209008,0:24.03,0
cbb087a,41%,201340,0:28.75,0
30a0c23,46%,186872,0:33.25,0
