5941499,183%,323340,0:20.96,0
a39a103,182%,306920,0:21.78,0
77d7bcb,184%,319508,0:21.00,0
e33f5e6,182%,320480,0:21.63,0
0009ba8,181%,302540,0:21.09,0
ec916f6,182%,306848,0:21.64,0
4f30478,183%,290680,0:21.41,0
3686f5f,182%,334316,0:21.68,0
c64f760,183%,360984,0:22.03,0
13f02f1,185%,338032,0:21.56,0
c89b1c7,184%,316908,0:21.54,0
e08a01a,183%,335612,0:21.11,0
dfc8623,183%,341900,0:21.28,0
e8bf35f,182%,337292,0:21.91,0
a11d8af,184%,298264,0:21.00,0
02e6df3,182%,309092,0:21.51,0
4ced100,183%,343712,0:21.65,0
2134755,182%,351812,0:21.52,0
74fb1c6,183%,300180,0:21.83,0
17bf5d4,183%,335324,0:20.46,0
aba918f,182%,308348,0:21.91,0
28617ea,183%,303480,0:21.67,0
0e1f896,184%,311344,0:21.80,0
f7fb43a,185%,375004,0:22.30,0
3abcc41,181%,345832,0:21.71,0
8affe53,183%,362260,0:22.32,0
ebe20fc,182%,343924,0:22.18,0
a0a7f4b,183%,293348,0:22.24,0
fe80815,181%,351124,0:21.84,0
f350f24,181%,288388,0:21.68,0
e362d16,184%,317284,0:21.80,0
35a13be,183%,323856,0:21.78,0
7278790,183%,293264,0:21.44,0
ae7d53a,183%,331924,0:20.90,0
4bd8f4e,182%,352868,0:20.73,0
36c350d,182%,318060,0:20.62,0
4c5bb5e,184%,324292,0:21.51,0
7ff75eb,183%,326308,0:20.76,0
0127e9f,185%,290240,0:20.56,0
b9ba365,180%,334496,0:20.90,0
1993b8f,181%,405152,0:22.26,0
54dc5a0,183%,307504,0:21.09,0
19ce9be,181%,325756,0:21.28,0
b4194e6,182%,297816,0:21.65,0
b17369b,182%,349104,0:21.32,0
61d09d6,182%,320972,0:21.24,0
6e0d83f,184%,318832,0:21.98,0
c532320,184%,340820,0:20.92,0
c93f7af,158%,341744,0:31.93,0
e7c5dc7,37%,206568,0:42.16,0
cbb087a,37%,199396,0:30.74,0
30a0c23,35%,193528,0:31.80,0
77e1343,37%,203860,0:28.83,0
77e1343,35%,179656,0:34.40,0
523c400,33%,182012,0:32.36,0
9b96118,36%,193468,0:31.56,0
62b9937,41%,246160,0:33.10,0
b55b734,43%,231220,0:31.14,0
6475093,44%,243516,0:29.99,0
e1b8dd9,40%,237048,0:33.03,0
44ebad3,43%,241196,0:30.34,0
