5941499,175%,426656,0:22.62,0
a39a103,174%,393004,0:23.18,0
77d7bcb,174%,424816,0:22.90,0
e33f5e6,176%,392512,0:23.11,0
0009ba8,175%,387088,0:23.27,0
ec916f6,175%,428896,0:23.15,0
4f30478,175%,381616,0:23.65,0
3686f5f,176%,413256,0:24.05,0
c64f760,176%,393876,0:23.43,0
13f02f1,176%,390284,0:23.27,0
c89b1c7,175%,396676,0:23.55,0
e08a01a,173%,342848,0:23.99,0
dfc8623,175%,401860,0:23.67,0
e8bf35f,176%,419004,0:23.19,0
a11d8af,176%,367740,0:23.59,0
02e6df3,175%,454324,0:22.81,0
4ced100,174%,367136,0:22.79,0
2134755,175%,371892,0:23.17,0
74fb1c6,175%,450336,0:23.51,0
17bf5d4,174%,389880,0:22.65,0
aba918f,175%,413712,0:23.33,0
28617ea,175%,399644,0:23.29,0
0e1f896,174%,384896,0:23.40,0
f7fb43a,175%,353352,0:23.34,0
3abcc41,174%,433964,0:22.97,0
8affe53,176%,411820,0:23.00,0
ebe20fc,174%,375436,0:23.17,0
a0a7f4b,174%,450244,0:22.40,0
fe80815,175%,420056,0:23.12,0
f350f24,175%,360912,0:23.19,0
e362d16,175%,386160,0:23.13,0
35a13be,173%,362556,0:22.23,0
7278790,174%,420296,0:23.49,0
ae7d53a,175%,379728,0:23.52,0
4bd8f4e,174%,459192,0:23.19,0
36c350d,176%,432780,0:24.35,0
4c5bb5e,178%,388312,0:18.55,0
7ff75eb,182%,413824,0:19.32,0
0127e9f,176%,416716,0:18.98,0
b9ba365,181%,337032,0:19.10,0
1993b8f,179%,373136,0:18.88,0
54dc5a0,179%,362436,0:19.05,0
19ce9be,180%,343712,0:18.32,0
b4194e6,181%,414332,0:17.99,0
b17369b,178%,392224,0:18.41,0
61d09d6,178%,396664,0:18.56,0
6e0d83f,180%,376804,0:18.33,0
c532320,182%,355644,0:20.04,0
c93f7af,179%,558492,0:33.83,0
e7c5dc7,6%,120660,0:34.02,0
cbb087a,6%,94368,0:36.67,0
30a0c23,6%,123340,0:35.22,0
77e1343,7%,103976,0:34.70,0
77e1343,7%,97300,0:28.57,0
523c400,6%,102056,0:32.84,0
9b96118,6%,120580,0:36.40,0
62b9937,10%,120752,0:23.40,0
b55b734,10%,108120,0:23.65,0
6475093,9%,114264,0:23.61,0
e1b8dd9,10%,119588,0:22.49,0
44ebad3,9%,120368,0:23.62,0
a550d71,9%,122548,0:23.36,0
aca081e,9%,116704,0:23.63,0
209816e,10%,122740,0:22.51,0
684d870,10%,123668,0:24.49,0
afc97cb,10%,97660,0:22.99,0
aff43ef,9%,121700,0:24.43,0
5884aa1,10%,125920,0:22.82,0
c779a46,9%,115856,0:23.52,0
ce9a5a9,9%,122104,0:24.84,0
706e32a,9%,120532,0:23.28,0
9561cf7,10%,107608,0:23.82,0
59c3fab,10%,105560,0:24.34,0
7cfcabf,9%,116824,0:25.20,0
dba23ec,9%,115168,0:23.97,0
d6e10a4,9%,116908,0:22.39,0
bb872e3,9%,121168,0:24.11,0
bc05ae1,9%,124120,0:24.78,0
