5941499,174%,335880,0:18.74,0
a39a103,174%,383760,0:18.44,0
77d7bcb,175%,443012,0:18.49,0
e33f5e6,174%,352756,0:18.27,0
0009ba8,173%,370928,0:18.90,0
ec916f6,174%,413212,0:18.56,0
4f30478,173%,335488,0:18.39,0
3686f5f,175%,346216,0:18.35,0
c64f760,174%,355504,0:18.44,0
13f02f1,176%,416568,0:19.22,0
c89b1c7,174%,426996,0:18.20,0
e08a01a,175%,314196,0:18.72,0
dfc8623,174%,336580,0:18.75,0
e8bf35f,178%,387484,0:17.95,0
a11d8af,173%,407100,0:18.76,0
02e6df3,178%,417360,0:17.88,0
4ced100,175%,405728,0:18.77,0
2134755,179%,342572,0:18.00,0
74fb1c6,174%,361292,0:18.76,0
17bf5d4,175%,348912,0:18.59,0
aba918f,174%,362132,0:18.60,0
28617ea,176%,332404,0:18.58,0
0e1f896,175%,335700,0:19.06,0
f7fb43a,175%,420768,0:18.17,0
3abcc41,173%,375184,0:18.50,0
8affe53,174%,336336,0:18.86,0
ebe20fc,175%,330320,0:18.62,0
a0a7f4b,173%,390804,0:18.18,0
fe80815,174%,380296,0:18.58,0
f350f24,174%,328568,0:19.03,0
e362d16,176%,455312,0:19.57,0
35a13be,176%,385276,0:19.22,0
7278790,174%,418596,0:19.26,0
ae7d53a,175%,404140,0:18.59,0
4bd8f4e,175%,348892,0:18.76,0
36c350d,180%,367384,0:18.55,0
4c5bb5e,177%,335820,0:13.56,0
7ff75eb,180%,371868,0:13.12,0
0127e9f,179%,330652,0:13.23,0
b9ba365,182%,380152,0:13.46,0
1993b8f,178%,350100,0:13.93,0
54dc5a0,183%,343012,0:13.04,0
19ce9be,179%,346392,0:14.76,0
b4194e6,177%,370892,0:13.24,0
b17369b,182%,353748,0:13.78,0
61d09d6,175%,349820,0:13.31,0
6e0d83f,181%,397856,0:13.15,0
c532320,174%,384524,0:13.73,0
c93f7af,174%,385536,0:14.13,0
e7c5dc7,26%,66300,0:12.22,0
cbb087a,26%,63600,0:12.15,0
30a0c23,26%,64196,0:20.23,0
77e1343,21%,65728,0:17.27,0
77e1343,26%,63556,0:13.94,0
523c400,27%,65596,0:13.36,0
9b96118,24%,63564,0:14.41,0
62b9937,36%,70008,0:09.92,0
b55b734,38%,67900,0:09.27,0
6475093,30%,68364,0:12.14,0
e1b8dd9,34%,65960,0:10.23,0
44ebad3,25%,68024,0:14.01,0
a550d71,29%,67584,0:12.32,0
aca081e,29%,71592,0:12.17,0
209816e,28%,70148,0:12.10,0
684d870,34%,68012,0:10.56,0
afc97cb,26%,69952,0:13.39,0
aff43ef,40%,64600,0:09.75,0
5884aa1,38%,70512,0:09.70,0
c779a46,38%,68908,0:09.60,0
ce9a5a9,32%,63300,0:11.93,0
706e32a,36%,65004,0:10.94,0
9561cf7,40%,64832,0:09.60,0
59c3fab,39%,65216,0:09.57,0
7cfcabf,31%,67876,0:12.44,0
dba23ec,36%,65360,0:10.59,0
d6e10a4,35%,67204,0:10.60,0
bb872e3,33%,67488,0:11.24,0
bc05ae1,32%,65608,0:11.87,0
7d3f2cf,30%,65828,0:12.41,0
7ea39af,33%,65788,0:11.42,0
858dff9,34%,65916,0:11.25,0
