593%,463848,0:21.32,0
Command exited with non-zero status 143
163%,317488,0:15.77,143
591%,458700,0:21.56,0
593%,469640,0:21.48,0
579%,467124,0:21.05,0
590%,468732,0:21.36,0
c5323200,
418%,776160,0:17.66,0
