707%,358780,0:23.70,0
701%,352428,0:23.90,0
705%,345076,0:21.77,0
697%,382396,0:23.66,0
636%,357084,0:27.60,0
712%,365880,0:22.07,0
c5323200,
634%,352632,0:38.62,0
c5323200,668%,357348,0:35.31,0
