724%,355632,1:23.06,0
Command exited with non-zero status 143
272%,276340,0:03.02,143
727%,404240,1:31.25,0
726%,366944,1:21.19,0
728%,409244,1:28.00,0
726%,442792,1:22.57,0
c5323200,
614%,340508,0:49.45,0
